nname,vname,vname_ing,syn,def,synset,add_def
airplane,board,boarding,"board, get_on","get on board of (trains, buses, ships, aircraft, etc.)","{'id': 1, 'wid': 'v02018049', 'name': 'board.v.01', 'count': '6', 'syn': 'board get_on', 'def': 'get on board of (trains, buses, ships, aircraft, etc.)', 'ex': []}",[]
airplane,direct,directing,"lead, take, direct, conduct, guide",to show or point out the way for; directing the traffic of,"{'id': 5, 'wid': 'v01999798', 'name': 'lead.v.01', 'count': '131', 'syn': 'lead take direct conduct guide', 'def': 'take somebody somewhere', 'ex': 'W'}",[]
airplane,exit,exiting,"exit, go_out, get_out, leave",move out of or depart from,"{'id': 1, 'wid': 'v02015598', 'name': 'exit.v.01', 'count': '72', 'syn': 'exit go_out get_out leave', 'def': 'move out of or depart from', 'ex': 'l'}",[]
airplane,fly,flying,"fly, aviate, pilot",operate an airplane,"{'id': 3, 'wid': 'v01941093', 'name': 'fly.v.03', 'count': '6', 'syn': 'fly aviate pilot', 'def': 'operate an airplane', 'ex': 'T'}",[]
airplane,inspect,inspecting,inspect,"to look at (something) carefully in order to learn more about it, to find problems, etc.","{'id': 1, 'wid': 'v02165543', 'name': 'inspect.v.01', 'count': '13', 'syn': 'inspect', 'def': 'look over carefully', 'ex': 'P'}",[]
airplane,load,loading,"load, lade, laden, load_up",(a person/worker) put things in/on (the target object),"{'id': 1, 'wid': 'v01489989', 'name': 'load.v.01', 'count': '9', 'syn': 'load lade laden load_up', 'def': 'fill or place a load on', 'ex': 'l'}",[]
airplane,ride,riding,ride,be carried or travel on or in a vehicle,"{'id': 2, 'wid': 'v01955984', 'name': 'ride.v.02', 'count': '30', 'syn': 'ride', 'def': 'be carried or travel on or in a vehicle', 'ex': 'I'}",['the rider can be clearly seen in the picture']
airplane,sit_on,sitting_on,"sit, sit_down",be seated,"{'id': 1, 'wid': 'v01543123', 'name': 'sit.v.01', 'count': '135', 'syn': 'sit sit_down', 'def': 'be seated', 'ex': []}",[]
airplane,wash,washing,"wash, rinse",clean with some chemical process,"{'id': 1, 'wid': 'v01270199', 'name': 'wash.v.01', 'count': '14', 'syn': 'wash rinse', 'def': 'clean with some chemical process', 'ex': []}",[]
airplane,no_interaction,no_interaction,[],[],"{'id': 1, 'wid': 'v01270199', 'name': 'wash.v.01', 'count': '14', 'syn': 'wash rinse', 'def': 'clean with some chemical process', 'ex': []}",[]
bicycle,carry,carrying,"transport, carry","move while supporting, either in a vehicle or in one's hands or on one's body","{'id': 1, 'wid': 'v01449974', 'name': 'transport.v.02', 'count': '74', 'syn': 'transport carry', 'def': ""move while supporting, either in a vehicle or in one's hands or on one's body"", 'ex': 'Y'}",[]
bicycle,hold,holding,"hold, take_hold",held by hand; to have or maintain in the grasp; to attach the hand to,"{'id': 2, 'wid': 'v01216670', 'name': 'hold.v.02', 'count': '67', 'syn': 'hold take_hold', 'def': ""have or hold in one's hands or grip"", 'ex': 'H'}",[]
bicycle,inspect,inspecting,inspect,"to look at (something) carefully in order to learn more about it, to find problems, etc.","{'id': 1, 'wid': 'v02165543', 'name': 'inspect.v.01', 'count': '13', 'syn': 'inspect', 'def': 'look over carefully', 'ex': 'P'}",[]
bicycle,jump,jumping,"jump, leap",cause to jump or leap,"{'id': 11, 'wid': 'v01965156', 'name': 'jump.v.11', 'count': '0', 'syn': 'jump leap', 'def': 'cause to jump or leap', 'ex': 't'}",[]
bicycle,hop_on,hopping_on,"hop_on, mount, mount_up, get_on, jump_on, climb_on, bestride",climb up onto; get up on the back of,"{'id': 1, 'wid': 'v01923414', 'name': 'hop_on.v.01', 'count': '8', 'syn': 'hop_on mount mount_up get_on jump_on climb_on bestride', 'def': 'get up on the back of', 'ex': 'm'}",['getting on the bike']
bicycle,park,parking,park,place temporarily,"{'id': 1, 'wid': 'v01493380', 'name': 'park.v.01', 'count': '11', 'syn': 'park', 'def': 'place temporarily', 'ex': 'p'}",['should take place at a bicylce parking lot; or about to leave the bicycle somewhere']
bicycle,push,pushing,"push, force","move with force, ""He pushed the table into a corner""","{'id': 1, 'wid': 'v01871979', 'name': 'push.v.01', 'count': '69', 'syn': 'push force', 'def': 'move with force, ""He pushed the table into a corner""', 'ex': []}",[]
bicycle,repair,repairing,"repair, mend, fix, bushel, doctor, furbish_up, restore, touch_on",restore by replacing a part or putting together what is torn or broken,"{'id': 1, 'wid': 'v00260648', 'name': 'repair.v.01', 'count': '26', 'syn': 'repair mend fix bushel doctor furbish_up restore touch_on', 'def': 'restore by replacing a part or putting together what is torn or broken', 'ex': 'S'}",[]
bicycle,ride,riding,ride,sit on and control a vehicle,"{'id': 10, 'wid': 'v02102398', 'name': 'ride.v.10', 'count': '0', 'syn': 'ride', 'def': 'sit on and control a vehicle', 'ex': 'H'}",[]
